danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.483,0.329,-12.339,0.0336,0.838,0.000393,0.136,0.251,80.084,191959,2,00J60e6s8QVW5cbhjBzYgk
0.758,0.823,-8.421,0.0413,0.0104,0.919,0.099,0.688,122.005,300492,1,00jeVohtKvmlZ2Vkb5SGrk
0.318,0.989,-0.102,0.0995,8.03e-05,1.1e-06,0.423,0.576,194.815,220050,0,00JfiKSB2Ne3dWu6EGcec9
0.0749,0.173,-18.872,0.0461,0.957,0.967,0.107,0.0373,175.65,175171,4,00Jh6031MKpE5nunLJzvyM
0.564,0.897,-5.794,0.0814,0.00106,0.674,0.0967,0.226,139.999,194571,0,00JoqMc5KZFLpdrtymo6f0
0.389,0.895,-6.138,0.0559,0.0074,0.0,0.125,0.63,104.051,169699,1,00JvylYBUz5KL7JK8glSdx
0.112,0.274,-13.56,0.033,0.871,0.576,0.0554,0.111,86.679,454773,4,00JzUNcRdhoALWUIiK5UnA
0.396,0.708,-4.864,0.0446,0.318,0.0,0.106,0.204,94.863,260133,0,00kbL0ei9bVKAp9I23vF1l
0.14,0.00107,-45.823,0.0626,0.934,0.703,0.101,0.0419,139.826,154506,4,00KTcw8dXiI7Dyxug4S0lt
0.73,0.622,-11.7,0.0532,0.269,0.00874,0.111,0.752,90.973,299067,1,00kvKlIvfzQLSi6T2zwXuS
0.64,0.67,-9.223,0.0534,0.283,8.63e-06,0.0898,0.456,107.993,187818,1,00LFs2Qlyf3cvxqm9HpsYs
0.487,0.74,-4.516,0.0394,0.288,0.000105,0.115,0.682,151.996,209213,1,00lXKTNYbdM5HN71sDlNWC
0.211,0.0478,-27.361,0.0506,0.78,0.94,0.113,0.169,66.938,123947,4,00mZmQ1kdWxmRtEA3A9olx
0.73,0.919,-5.836,0.0459,0.00126,0.89,0.168,0.285,125.008,252985,0,00n7wN0flnH48KVwQOms7A
0.224,0.239,-14.545,0.0403,0.696,0.315,0.158,0.204,57.08,205987,4,00nZaO216gWXiFinzoUhUz
0.627,0.885,-8.898,0.0408,0.00197,0.855,0.938,0.127,124.989,421096,0,00ohN89NbtpeUGWqSV7MUh
0.753,0.0546,-21.425,0.511,0.983,3.48e-06,0.256,0.185,114.742,66587,3,00OHP5NSNzSnJ34o69Yiau
0.667,0.636,-5.669,0.082,0.022,0.0,0.0908,0.152,158.058,151891,0,00okrW9OfjmG0PZJSY3fJd
0.207,0.562,-7.658,0.0385,2.19e-05,0.617,0.188,0.143,89.748,577960,0,00p8iMqNkGcaoTXVHi63Dy
0.806,0.535,-10.982,0.0449,0.064,0.737,0.112,0.964,145.971,195680,1,00PeeHSlpyfQT4iU6yPXh5
0.569,0.572,-9.364,0.0375,0.468,0.3,0.383,0.475,95.05,296914,2,00pNtoJKIuzLVrg4rSp3h1
0.587,0.0154,-20.449,0.376,0.414,0.0,0.104,0.411,201.802,357640,2,00prX3xswfXrn0dFDEwyEc
0.328,0.0497,-26.127,0.0389,0.995,0.87,0.0833,0.0379,69.233,526893,4,00QMcKNCYXMomU6qn563KC
