danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster
0.346,0.976,-4.163,0.0998,0.000617,0.0,0.271,0.401,133.817,207080,0
0.357,0.653,-5.554,0.0654,0.0828,0.0,0.0844,0.522,176.647,259800,0
0.568,0.57,-8.532,0.0293,0.495,0.579,0.0749,0.771,202.176,225707,1
0.235,0.977,0.878,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,0
0.699,0.227,-17.781,0.752,0.44,0.00357,0.128,0.114,134.017,191425,3
0.765,0.422,-8.764,0.485,0.104,0.0,0.107,0.267,153.942,174545,1
0.522,0.99,-3.64,0.073,0.000407,0.000292,0.289,0.374,120.005,225307,0
0.581,0.466,-8.839,0.0379,0.452,0.000922,0.131,0.272,84.636,242036,2
0.468,0.712,-7.134,0.0333,0.0312,0.0,0.103,0.345,92.027,211520,0
0.709,0.0579,-27.539,0.842,0.654,0.00241,0.135,0.383,127.151,27907,3
0.771,0.589,-6.595,0.0289,0.551,1.49e-06,0.082,0.787,123.064,210987,1
0.616,0.419,-11.017,0.0312,0.69,0.000431,0.0953,0.322,76.048,231893,2
0.658,0.664,-5.193,0.0308,0.00118,0.0178,0.0902,0.675,112.98,174547,1
0.651,0.101,-25.489,0.791,0.251,1.24e-06,0.329,0.253,104.179,448767,3
0.716,0.268,-17.026,0.876,0.606,0.0,0.377,0.626,117.436,127093,3
0.681,0.73,-5.684,0.0266,0.369,0.000649,0.0759,0.61,107.04,192000,1
0.215,0.979,-3.869,0.138,0.000115,0.897,0.0784,0.14,140.19,263200,0
0.443,0.876,-4.588,0.0499,0.411,0.0,0.36,0.706,154.588,190413,0
0.407,0.0132,-30.891,0.0477,0.995,0.89,0.112,0.123,72.799,150000,4
0.753,0.922,-4.811,0.0758,0.0899,1.9e-05,0.0843,0.319,111.998,258827,1
0.589,0.0373,-23.551,0.428,0.874,2.18e-05,0.187,0.286,129.032,626320,3
0.173,0.811,-11.903,0.0809,0.000111,0.153,0.403,0.205,120.177,195613,0
0.532,0.0318,-21.254,0.0502,0.99,0.932,0.131,0.033,60.081,238234,4
0.658,0.0429,-17.493,0.92,0.0395,0.0476,0.104,0.282,107.102,399400,3
0.744,0.557,-8.311,0.0435,0.607,0.0,0.85,0.633,117.853,163534,1
0.461,0.0118,-27.5,0.0456,0.994,0.918,0.134,0.109,77.902,183484,4
0.69,0.109,-27.433,0.959,0.5,0.0,0.549,0.123,80.506,56448,3
0.346,0.0943,-13.632,0.0362,0.929,0.918,0.102,0.109,127.006,129937,4
0.722,0.186,-23.566,0.504,0.763,0.0,0.201,0.595,85.73,92547,3
0.5,0.743,-6.648,0.0373,0.307,2.68e-05,0.133,0.332,166.256,191827,0
0.368,0.0108,-29.17,0.0414,0.994,0.911,0.131,0.173,125.242,134364,4
0.329,0.00259,-26.036,0.0417,0.986,0.954,0.0853,0.226,70.588,183660,4
0.499,0.0204,-21.838,0.0895,0.995,0.962,0.112,0.202,130.059,116836,4
0.53,0.121,-11.614,0.0481,0.699,0.934,0.101,0.433,79.999,110236,4
0.654,0.83,-4.801,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,262200,1
0.702,0.129,-19.009,0.922,0.898,0.0,0.0934,0.633,136.109,705320,3
0.334,0.476,-8.884,0.0305,0.336,8.94e-05,0.192,0.129,79.359,265013,2
0.779,0.795,-7.51,0.266,0.0171,0.0,0.0921,0.683,93.942,250907,1
0.365,0.258,-18.963,0.0446,0.937,0.249,0.342,0.185,81.282,95680,4
0.76,0.524,-7.327,0.0265,0.272,0.00148,0.104,0.744,114.069,163907,1
0.444,0.398,-8.01,0.03,0.799,0.0,0.114,0.361,79.874,228147,2
0.968,0.451,-14.386,0.538,0.0847,1.98e-05,0.092,0.788,126.069,110132,1
0.413,0.99,-6.473,0.422,0.0319,0.0,0.316,0.0632,140.042,222400,0
0.68,0.111,-20.772,0.846,0.889,2.84e-05,0.19,0.681,100.287,47933,3
0.0867,0.0125,-34.096,0.0463,0.993,0.983,0.0619,0.037,66.945,147136,4
0.458,0.993,-4.048,0.102,3.38e-05,0.355,0.193,0.232,162.942,327760,0
0.529,0.963,-5.602,0.0618,4e-05,0.0,0.395,0.324,114.977,264453,0
0.659,0.628,-5.156,0.0328,0.000353,0.0141,0.538,0.508,114.816,180186,0
0.924,0.485,-8.985,0.082,0.105,0.0,0.076,0.325,120.034,234787,1
0.0639,0.552,-30.88,0.105,0.516,0.952,0.864,0.0306,56.653,256509,4
0.846,0.53,-13.185,0.0397,0.116,0.215,0.0664,0.177,120.012,276485,1
0.665,0.206,-15.878,0.77,0.0236,0.0,0.372,0.148,148.411,156547,3
0.488,0.237,-18.863,0.914,0.963,0.0,0.959,0.412,73.955,228173,3
0.43,0.0862,-17.628,0.566,0.873,0.00027,0.296,0.261,80.154,688853,3
0.586,0.389,-10.833,0.41,0.185,0.551,0.355,0.764,168.928,208400,1
0.723,0.723,-5.522,0.0269,0.043,3.99e-05,0.326,0.694,109.988,215033,1
0.701,0.0879,-19.782,0.815,0.947,3.07e-06,0.18,0.541,104.654,94800,3
0.418,0.995,-4.422,0.0714,0.000611,0.874,0.0888,0.135,140.005,232000,0
0.539,0.855,-4.573,0.0603,0.0302,0.000105,0.12,0.367,173.971,263407,0
0.766,0.563,-9.766,0.0396,0.422,0.102,0.142,0.706,93.079,149423,1
0.362,0.201,-18.255,0.0444,0.905,0.0745,0.0699,0.309,128.548,972507,2
0.584,0.975,-6.534,0.0651,0.141,0.501,0.101,0.876,138.341,535333,1
0.451,0.567,-7.466,0.0322,0.00261,0.0,0.146,0.219,148.079,388133,0
0.725,0.804,-7.84,0.0393,0.426,0.000504,0.108,0.961,93.668,177427,1
0.847,0.575,-5.65,0.181,0.0863,9.72e-05,0.0316,0.847,144.989,294373,1
0.544,0.217,-13.815,0.0371,0.91,0.00296,0.12,0.348,117.693,294613,2
0.504,0.74,-7.233,0.0299,0.111,0.00315,0.279,0.727,143.988,265280,1
0.651,0.556,-9.001,0.0395,0.000803,0.902,0.0528,0.141,121.001,356529,0
0.716,0.394,-9.866,0.252,0.134,0.0,0.0916,0.232,81.974,185869,2
0.232,0.881,-4.723,0.214,0.146,0.0,0.172,0.312,203.39,235448,0
0.13,0.991,-3.126,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,191332,0
0.647,0.853,-4.516,0.0904,0.0615,0.0,0.062,0.618,103.846,189000,1
0.623,0.122,-27.995,0.9,0.922,2.87e-05,0.118,0.547,103.869,278813,3
0.56,0.295,-12.574,0.0269,0.495,0.000183,0.126,0.19,137.732,168043,2
0.666,0.328,-12.45,0.926,0.615,5.57e-06,0.135,0.184,136.311,441640,3
0.468,0.908,-4.376,0.0474,0.0712,0.000958,0.366,0.673,119.954,214147,0
0.388,0.72,-5.541,0.033,0.202,0.000288,0.283,0.554,141.283,341747,0
0.54,0.253,-14.274,0.032,0.837,0.00139,0.117,0.32,171.949,163973,2
0.394,0.16,-22.689,0.0388,0.993,0.969,0.103,0.365,125.197,141958,4
0.582,0.228,-14.174,0.919,0.0974,0.0,0.344,0.131,187.869,1800386,3
0.558,0.558,-10.455,0.0367,0.706,6.83e-05,0.27,0.524,139.914,205413,2
0.672,0.836,-3.959,0.071,0.0793,0.000379,0.0891,0.781,104.068,179857,1
0.658,0.853,-8.628,0.0423,0.0317,0.897,0.0817,0.0829,122.02,193105,0
0.543,0.707,-7.636,0.07,0.614,0.0414,0.118,0.515,143.915,216000,1
0.116,0.00315,-33.193,0.0414,0.977,0.304,0.108,0.0375,94.652,228773,4
0.426,0.228,-10.552,0.0322,0.198,0.13,0.0832,0.0822,147.994,343253,2
0.367,0.445,-13.615,0.0286,0.0478,0.00284,0.163,0.149,67.197,287400,2
0.16,0.00158,-25.167,0.199,0.17,0.00121,0.964,0.0113,112.852,175750,3
0.632,0.211,-19.3,0.908,0.0699,0.0,0.293,0.37,164.894,63843,3
0.476,0.973,-3.541,0.0749,0.000411,0.77,0.42,0.384,95.0,205133,0
0.751,0.528,-9.582,0.0865,0.769,4.9e-06,0.0782,0.326,126.013,206635,2
0.268,0.103,-18.574,0.0297,0.625,0.934,0.13,0.0375,95.376,273333,4
0.604,0.658,-9.106,0.0407,0.345,0.223,0.0924,0.281,120.928,236149,0
0.543,0.935,-4.219,0.035,0.00075,0.0422,0.0605,0.113,139.994,185143,0
0.744,0.0938,-12.294,0.0588,0.777,0.905,0.0866,0.591,83.0,175747,2
0.205,0.125,-21.878,0.0413,0.978,0.846,0.0807,0.0354,55.957,230400,4
0.322,0.0121,-31.994,0.0491,0.993,0.927,0.127,0.118,112.464,160897,4
0.849,0.574,-4.789,0.0698,0.27,0.0,0.0847,0.972,155.966,126516,1
0.677,0.466,-6.621,0.0257,0.63,0.0016,0.0856,0.88,87.876,182240,1
0.607,0.658,-5.552,0.0262,0.0103,0.0224,0.0537,0.567,99.983,207587,1
0.816,0.175,-16.829,0.104,0.514,0.00035,0.123,0.627,119.93,124613,2
0.688,0.473,-9.059,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,2
0.427,0.416,-13.134,0.0346,0.845,0.000633,0.0838,0.647,172.456,256341,2
0.603,0.593,-6.298,0.0325,0.0292,0.0114,0.106,0.342,131.974,260241,0
0.567,0.918,-4.472,0.051,0.066,0.0,0.188,0.52,113.989,180399,1
0.49,0.581,-6.566,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,2
0.675,0.0867,-14.425,0.877,0.58,0.0,0.143,0.273,116.298,230227,3
0.606,0.343,-7.911,0.0289,0.683,0.00109,0.109,0.0841,120.048,222627,2
0.576,0.534,-9.637,0.294,0.075,0.0,0.199,0.041,83.56,208096,0
0.519,0.151,-20.193,0.0412,0.977,0.952,0.0972,0.342,141.725,190598,4
0.541,0.318,-10.762,0.0453,0.836,1.22e-06,0.115,0.31,171.937,228920,2
0.683,0.609,-7.611,0.0843,0.0564,0.0,0.221,0.714,83.953,201523,1
0.641,0.28,-13.989,0.102,0.83,0.913,0.114,0.143,168.064,120007,2
0.388,0.949,-5.992,0.0745,0.0162,0.17,0.756,0.51,116.574,499360,0
0.675,0.729,-7.406,0.0893,0.265,0.014,0.128,0.675,161.852,259166,1
0.476,0.776,-6.95,0.173,0.00155,0.0,0.464,0.247,139.969,213123,0
0.784,0.204,-11.383,0.195,0.902,0.828,0.0941,0.469,75.988,138947,2
0.78,0.68,-6.081,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,1
0.44,0.389,-5.707,0.0279,0.854,4.4e-05,0.245,0.335,129.696,229990,2
0.691,0.844,-5.248,0.0317,0.00843,2.34e-05,0.111,0.677,117.03,173400,1
0.367,0.15,-16.867,0.064,0.983,0.0134,0.146,0.0397,133.978,604587,2
0.164,0.405,-15.022,0.0487,0.0632,0.912,0.284,0.0374,133.008,157147,4
0.83,0.557,-5.146,0.118,0.361,0.0,0.249,0.492,114.966,168640,1
0.553,0.486,-12.544,0.944,0.833,0.0,0.958,0.607,84.16,507240,3
0.293,0.47,-16.454,0.0512,0.0584,0.877,0.143,0.0757,120.341,170845,4
0.756,0.44,-13.345,0.0622,0.384,0.0,0.0905,0.77,133.033,189680,1
0.613,0.98,-3.874,0.076,0.00682,0.855,0.467,0.445,150.029,202917,0
0.657,0.685,-5.203,0.0334,0.0246,0.0,0.037,0.424,96.458,313533,1
0.643,0.436,-12.245,0.0273,0.724,0.459,0.11,0.422,91.485,200800,2
0.435,0.729,-4.818,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,0
0.572,0.013,-22.725,0.083,0.98,0.931,0.112,0.181,132.125,198298,4
0.58,0.522,-8.615,0.0266,0.557,0.000428,0.0988,0.422,132.313,198467,2
0.707,0.346,-12.397,0.0251,0.69,0.145,0.1,0.49,85.094,295050,2
0.682,0.629,-3.328,0.042,0.0147,0.000418,0.0918,0.603,109.035,179973,1
0.617,0.5,-5.747,0.034,0.386,0.00521,0.107,0.516,90.026,168747,1
0.781,0.632,-7.774,0.101,0.0185,4.79e-05,0.116,0.663,114.018,225494,1
0.326,0.115,-22.744,0.0359,0.244,0.806,0.335,0.074,119.926,156774,4
0.555,0.309,-9.394,0.0337,0.852,0.0,0.121,0.469,134.654,217598,2
0.288,0.629,-3.252,0.039,0.000223,3.91e-06,0.262,0.267,170.15,188720,0
0.494,0.938,-4.828,0.0402,0.00117,0.952,0.118,0.17,127.004,200211,0
0.653,0.631,-11.334,0.0461,0.299,0.00265,0.0627,0.516,156.32,381627,1
0.626,0.188,-14.982,0.944,0.505,0.0,0.124,0.224,68.015,424140,3
0.0696,0.0593,-27.171,0.0403,0.978,0.812,0.0712,0.0413,66.021,255507,4
0.196,0.0583,-36.439,0.0422,0.0492,0.773,0.113,0.111,99.955,149279,4
0.683,0.837,-5.46,0.0307,0.0276,2.98e-05,0.0627,0.565,115.933,238973,1
0.615,0.483,-8.947,0.0325,0.401,0.0,0.134,0.192,100.712,201224,2
0.577,0.4,-15.891,0.26,0.892,0.0,0.267,0.354,121.159,285093,2
0.39,0.174,-14.469,0.0373,0.869,0.866,0.112,0.306,129.147,368960,4
0.672,0.825,-5.365,0.0414,0.00567,0.289,0.0926,0.171,125.993,206200,0
0.659,0.0668,-21.354,0.502,0.899,6.44e-06,0.109,0.32,111.85,608213,3
0.49,0.813,-3.699,0.0318,0.0134,0.0,0.266,0.505,90.041,194200,0
0.52,0.268,-19.903,0.0426,0.949,0.929,0.114,0.161,140.026,190529,4
0.662,0.0216,-22.001,0.536,0.967,0.0,0.114,0.479,66.346,122000,3
0.493,0.56,-13.271,0.386,0.465,0.0,0.372,0.36,130.712,379559,2
0.472,0.655,-8.272,0.0406,0.44,0.868,0.163,0.69,89.242,301853,1
0.622,0.856,-2.789,0.0506,0.000856,1.23e-06,0.183,0.372,124.017,238110,0
0.503,0.81,-7.204,0.0352,0.129,0.0689,0.104,0.612,76.917,261107,1
0.693,0.41,-6.183,0.0428,0.621,0.0,0.101,0.281,144.969,143672,2
0.213,0.0603,-23.161,0.0481,0.95,0.00108,0.0929,0.0395,171.28,231547,4
0.77,0.636,-7.636,0.0901,0.198,2.92e-06,0.115,0.414,93.032,156774,1
0.462,0.244,-16.96,0.029,0.951,0.173,0.12,0.078,100.142,310733,2
0.0,0.343,-17.524,0.0,0.142,0.0,0.0,0.0,0.0,4760,4
